Rse 위치구분,경로1 RSE ID(서울-서대구),,,RSE위치구분,경로2 RSD ID(서울->서대구),,,RSE위치구분,경로3 RSD ID(서울->서대구),,,RSE위치구분,경로4 RSD ID(서울->서대구),,,RSE위치구분,경로5 RSD ID(서울->서대구),,,RSE위치구분,경로6 RSD ID(서울->서대구),,,RSE위치구분,경로7 RSD ID(서울->서대구),,,RSE위치구분,경로8 RSD ID(서울->서대구),,,RSE위치구분,경로9 RSD ID(서울->서대구),,,,RSE위치구분,경로10 RSD ID(서울->서대구),,,,,RSE위치구분,경로11 RSD ID(서울->서대구),,,,,RSE위치구분,경로12 RSD ID(서울->서대구),,,RSE위치구분,경로1 RSD ID(서대구 ->서울),,,,RSE위치구분,경로2 RSD ID(서대구 ->서울),,,RSE위치구분,경로3 RSD ID(서대구 ->서울),,,,RSE위치구분,경로4 RSD ID(서대구->서울),,,,RSE위치구분,경로5 RSD ID(서대구->서울)
일반구간,2100501092669 ,,,일반구간,2100401014169 ,,,일반구간,2100401014169 ,,,일반구간,2100401014169 ,,,JC,2100401100426 ,,,일반구간,2100401080248 ,,,일반구간,2100401014169 ,,,일반구간,2100401014169 ,,,일반구간,2100401014169 ,,,,JC,2100401100426 ,,,,,JC,2100401100426 ,,,,,일반구간,2100401080248 ,,,일반구간,2100501011398 ,,,,일반구간,2100501011398 ,경부선,,일반구간,2100501011398 ,,,,일반구간,2100501011398 ,경부선,,,일반구간,2100501111096 
일반구간,2100401092629 ,,,휴게소,2100401014157 ,,,휴게소,2100401014157 ,,,휴게소,2100401014157 ,,,일반구간,2100401100439 ,,,일반구간,2100401080288 ,,,휴게소,2100401014157 ,,,휴게소,2100401014157 ,,,휴게소,2100401014157 ,,,,일반구간,2100401100439 ,,,,,일반구간,2100401100439 ,,,,,일반구간,2100401080288 ,,,일반구간,2100501011431 ,,,,일반구간,2100501011431 ,,,일반구간,2100501011431 ,,,,일반구간,2100501011431 ,,,,JC,2100701111134 
일반구간,2100401092592 ,,,일반구간,2100701104143 ,,,일반구간,2100701104143 ,,,일반구간,2100701104143 ,,,JC,2100401100452 ,,,일반구간,2100401080337 ,,,일반구간,2100701104143 ,,,일반구간,2100701104143 ,,,일반구간,2100701104143 ,,,,JC,2100401100452 ,,,,,JC,2100401100452 ,,,,,일반구간,2100401080337 ,,,일반구간,2100501011459 ,,,,일반구간,2100501011459 ,,,일반구간,2100501011459 ,,,,일반구간,2100501011459 ,,,,일반구간,2100701111185 
일반구간,2100401092544 ,,,일반구간,2100401014136 ,,,일반구간,2100401014136 ,,,일반구간,2100401014136 ,,,일반구간,2100401100470 ,,,일반구간,2100401080371 ,,,일반구간,2100401014136 ,,,일반구간,2100401014136 ,,,일반구간,2100401014136 ,,,,일반구간,2100401100470 ,,,,,일반구간,2100401100470 ,,,,,일반구간,2100401080371 ,,,일반구간,2100501011500 ,,,,일반구간,2100501011500 ,,,일반구간,2100501011500 ,,,,일반구간,2100501011500 ,,,,일반구간,2100701111239 
일반구간,2100401092482 ,,,일반구간,2100701104116 ,,,일반구간,2100701104116 ,,,일반구간,2100701104116 ,,,일반구간,2100401100505 ,,,일반구간,2100401080402 ,,,일반구간,2100701104116 ,,,일반구간,2100701104116 ,,,일반구간,2100701104116 ,,,,일반구간,2100401100505 ,,,,,일반구간,2100401100505 ,,,,,일반구간,2100401080402 ,,,일반구간,2100501011532 ,,,,일반구간,2100501011532 ,,,일반구간,2100501011532 ,,,,일반구간,2100501011532 ,,,,일반구간,2100701111267 
일반구간,2100401092440 ,,,일반구간,2100401014102 ,,,일반구간,2100401014102 ,,,일반구간,2100401014102 ,,,일반구간,2100401100532 ,,,일반구간,2100401080454 ,,,일반구간,2100401014102 ,,,일반구간,2100401014102 ,,,일반구간,2100401014102 ,,,,일반구간,2100401100532 ,,,,,일반구간,2100401100532 ,,,,,일반구간,2100401080454 ,,,일반구간,2100501011581 ,,,,일반구간,2100501011581 ,,,일반구간,2100501011581 ,,,,일반구간,2100501011581 ,,,,일반구간,2100701111275 
일반구간,2100401092404 ,,,일반구간,2100401014082 ,,,일반구간,2100401014082 ,,,일반구간,2100401014082 ,,,휴게소,2100401100551 ,,,일반구간,2100401080489 ,,,일반구간,2100401014082 ,,,일반구간,2100401014082 ,,,일반구간,2100401014082 ,,,,휴게소,2100401100551 ,,,,,휴게소,2100401100551 ,,,,,일반구간,2100401080489 ,,,일반구간,2100501011624 ,,,,일반구간,2100501011624 ,,,일반구간,2100501011624 ,,,,일반구간,2100501011624 ,,,,일반구간,2100701111336 
일반구간,2100401092368 ,,,일반구간,2100701014043 ,,,일반구간,2100701014043 ,,,일반구간,2100701014043 ,,,휴게소,2100401100555 ,,,일반구간,2100401080521 ,,,일반구간,2100701014043 ,,,일반구간,2100701014043 ,,,일반구간,2100701014043 ,,,,휴게소,2100401100555 ,,,,,휴게소,2100401100555 ,,,,,일반구간,2100401080521 ,,,일반구간,2100501011667 ,,,,일반구간,2100501011667 ,,,일반구간,2100501011667 ,,,,일반구간,2100501011667 ,,,,일반구간,2100701111393 
일반구간,2100501092336 ,,,일반구간,2100401014010 ,,,일반구간,2100401014010 ,,,일반구간,2100401014010 ,,,일반구간,2100401100563 ,,,일반구간,2100401080559 ,,,일반구간,2100401014010 ,,,일반구간,2100401014010 ,,,일반구간,2100401014010 ,,,,일반구간,2100401100563 ,,,,,일반구간,2100401100563 ,,,,,일반구간,2100401080559 ,,,일반구간,2100501011707 ,,,,일반구간,2100501011707 ,,,일반구간,2100501011707 ,,,,일반구간,2100501011707 ,,,,일반구간,2100701111463 
일반구간,2100701092321 ,,,휴게소,2100701013994 ,,,휴게소,2100701013994 ,,,휴게소,2100701013994 ,,,일반구간,2100401100612 ,,,일반구간,2100601080599 ,,,휴게소,2100701013994 ,,,휴게소,2100701013994 ,,,휴게소,2100701013994 ,,,,일반구간,2100401100612 ,,,,,일반구간,2100401100612 ,,,,,일반구간,2100601080599 ,,,일반구간,2100501011727 ,,,,일반구간,2100501011727 ,,,일반구간,2100501011727 ,,,,일반구간,2100501011727 ,,,,일반구간,2100701111502 
휴게소,2100701092299 ,,,일반구간,2100401013974 ,,,일반구간,2100401013974 ,,,일반구간,2100401013974 ,,,일반구간,2100401100643 ,,,일반구간,2100601080664 ,,,일반구간,2100401013974 ,,,일반구간,2100401013974 ,,,일반구간,2100401013974 ,,,,일반구간,2100401100643 ,,,,,일반구간,2100401100643 ,,,,,일반구간,2100601080664 ,,,일반구간,2100501011775 ,,,,일반구간,2100501011775 ,,,일반구간,2100501011775 ,,,,일반구간,2100501011775 ,,,,일반구간,2100701111564 
일반구간,2100401092299 ,,,일반구간,2100401013936 ,,,일반구간,2100401013936 ,,,일반구간,2100401013936 ,,,일반구간,2100401100720 ,,,일반구간,2100601080736 ,,,일반구간,2100401013936 ,,,일반구간,2100401013936 ,,,일반구간,2100401013936 ,,,,일반구간,2100401100680 ,,,,,일반구간,2100401100680 ,,,,,일반구간,2100601080736 ,,,일반구간,2100501011823 ,,,,일반구간,2100501011823 ,,,일반구간,2100501011823 ,,,,일반구간,2100501011823 ,,,,일반구간,2100701111614 
일반구간,2100501092246 ,,,일반구간,2100401013911 ,,,일반구간,2100401013911 ,,,일반구간,2100401013911 ,,,일반구간,2100401100680 ,,,일반구간,2100601080791 ,,,일반구간,2100601100402 ,,,일반구간,2100401013911 ,,,일반구간,2100601100402 ,,,,일반구간,2100401100720 ,,,,,일반구간,2100401100720 ,,,,,일반구간,2100601080791 ,,,일반구간,2100501011865 ,,,,일반구간,2100501011865 ,,,일반구간,2100501011865 ,,,,일반구간,2100501011865 ,,,,일반구간,2100701111674 
일반구간,2100501092190 ,,,휴게소,2100401013888 ,,,휴게소,2100401013888 ,,,휴게소,2100401013888 ,,,일반구간,2100401063217 ,,,JC,2100601080842 ,,,JC,2100401100426 ,,,휴게소,2100401013888 ,,,JC,2100401100426 ,,,,JC,2100401100750 ,,,,,JC,2100401100750 ,,,,,JC,2100601080842 ,,,일반구간,2100501091139 ,,,,일반구간,2100501091139 ,중부내륙,,일반구간,2100501011894 ,,,,일반구간,2100501091139 ,중부내륙,,,일반구간,2100701111747 
일반구간,2100501092136 ,,,일반구간,2100401013877 ,,,일반구간,2100401013877 ,,,일반구간,2100401013877 ,,,일반구간,2100401063190 ,,,일반구간,2100501092336 ,,,일반구간,2100401100439 ,,,일반구간,2100401013877 ,,,일반구간,2100401100439 ,,,,일반구간,2100401100765 ,,,,,일반구간,2100401100765 ,,,,,일반구간,2100701080918 ,,,일반구간,2100501091148 ,,,,일반구간,2100501091148 ,,,일반구간,2100401011923 ,,,,일반구간,2100501091148 ,,,,일반구간,2100701111795 
일반구간,2100501092091 ,,,일반구간,2100401013855 ,,,일반구간,2100401013855 ,,,일반구간,2100401013855 ,,,일반구간,2100401063134 ,,,일반구간,2100701092321 ,,,JC,2100401100452 ,,,일반구간,2100401013855 ,,,JC,2100401100452 ,,,,일반구간,2100401100816 ,,,,,일반구간,2100401100816 ,,,,,일반구간,2100701080970 ,,,일반구간,2100501091194 ,,,,일반구간,2100501091194 ,,,일반구간,2100501011954 ,,,,일반구간,2100501091194 ,,,,일반구간,2100701111836 
일반구간,2100501092048 ,,,일반구간,2100401013846 ,,,일반구간,2100401013846 ,,,일반구간,2100401013846 ,,,일반구간,2100401063104 ,,,휴게소,2100701092299 ,,,일반구간,2100401100470 ,,,일반구간,2100401013846 ,,,일반구간,2100401100470 ,,,,JC,2100401100847 ,,,,,JC,2100401100847 ,,,,,일반구간,2100701081027 ,,,일반구간,2100501091229 ,,,,일반구간,2100501091229 ,,,일반구간,2100501012004 ,,,,일반구간,2100501091229 ,,,,일반구간,2100701111900 
일반구간,2100501091988 ,,,일반구간,2100401013817 ,,,일반구간,2100401013817 ,,,일반구간,2100401013817 ,,,일반구간,2100401063047 ,,,일반구간,2100401092299 ,,,일반구간,2100401100505 ,,,일반구간,2100401013817 ,,,일반구간,2100401100505 ,,,,휴게소,2100401100866 ,,,,,휴게소,2100401100866 ,,,,,휴게소,2100401081048 ,,,일반구간,2100501091259 ,,,,일반구간,2100501091259 ,,,일반구간,2100501012031 ,,,,일반구간,2100501091259 ,,,,일반구간,2100701111943 
일반구간,2100501091949 ,,,일반구간,2100401013808 ,,,일반구간,2100401013808 ,,,일반구간,2100401013808 ,,,일반구간,2100401063002 ,,,일반구간,2100501092246 ,,,일반구간,2100401100532 ,,,일반구간,2100401013808 ,,,일반구간,2100401100532 ,,,,일반구간,2100401100867 ,,,,,일반구간,2100401100867 ,,,,,일반구간,2100701081051 ,,,일반구간,2100501091293 ,,,,일반구간,2100501091293 ,,,일반구간,2100501012062 ,,,,일반구간,2100501091293 ,,,,일반구간,2100701112002 
일반구간,2100701091804 ,,,일반구간,2100401013802 ,,,일반구간,2100401013802 ,,,일반구간,2100401013802 ,,,휴게소,2100701062985 ,,,일반구간,2100501092190 ,,,휴게소,2100401100551 ,,,일반구간,2100401013802 ,,,휴게소,2100401100551 ,,,,휴게소,2100401100868 ,,,,,휴게소,2100401100868 ,,,,,일반구간,2100401081073 ,,,일반구간,2100501091330 ,,,,일반구간,2100501091330 ,,,일반구간,2100501012118 ,,,,일반구간,2100501091330 ,,,,일반구간,2100701112031 
일반구간,2100501091773 ,,,일반구간,2100401013789 ,,,일반구간,2100401013789 ,,,일반구간,2100401013789 ,,,휴게소,2100701062983 ,,,일반구간,2100501092136 ,,,휴게소,2100401100555 ,,,일반구간,2100401013789 ,,,휴게소,2100401100555 ,,,,일반구간,2100501092669 ,,,,,일반구간,2100401100898 ,,,,,휴게소,2100401081099 ,,,일반구간,2100501091381 ,,,,일반구간,2100501091381 ,,,일반구간,2100501012181 ,,,,일반구간,2100501091381 ,,,,일반구간,2100701112079 
일반구간,2100501091728 ,,,일반구간,2100401013760 ,,,일반구간,2100401013760 ,,,일반구간,2100401013760 ,,,일반구간,2100401062962 ,,,일반구간,2100501092091 ,,,일반구간,2100401100563 ,,,일반구간,2100401013760 ,,,일반구간,2100401100563 ,,,,일반구간,2100401092629 ,,,,,일반구간,2100401100925 ,,,,,일반구간,2100701081120 ,,,일반구간,2100501091394 ,,,,일반구간,2100501091394 ,,,일반구간,2100501012223 ,,,,일반구간,2100501091394 ,,,,일반구간,2100701112139 
일반구간,2100501091631 ,,,일반구간,2100401013713 ,,,일반구간,2100401013713 ,,,일반구간,2100401013713 ,,,일반구간,2100401062917 ,,,일반구간,2100501092048 ,,,일반구간,2100401100612 ,,,일반구간,2100401013713 ,,,일반구간,2100401100612 ,,,,일반구간,2100401092592 ,,,,,일반구간,2100401100962 ,,,,,일반구간,2100701081157 ,,,일반구간,2100501091458 ,,,,일반구간,2100501030786 ,청주영덕,,일반구간,2100501012273 ,,,,일반구간,2100501030786 ,청주영덕,,,일반구간,2100701112199 
일반구간,2100501091590 ,,,휴게소,2100401013693 ,,,휴게소,2100401013693 ,,,휴게소,2100401013693 ,,,일반구간,2100601080599 ,,,일반구간,2100501091988 ,,,일반구간,2100401100643 ,,,휴게소,2100401013693 ,,,일반구간,2100401100643 ,,,,일반구간,2100401092544 ,,,,,일반구간,2100401101010 ,,,,,일반구간,2100701081189 ,,,일반구간,2100501091480 ,,,,일반구간,2100701030741 ,,,일반구간,2100501012326 ,,,,일반구간,2100701030741 ,,,,일반구간,2100701112243 
일반구간,2100501091552 ,,,일반구간,2100401013669 ,,,일반구간,2100401013669 ,,,일반구간,2100401013669 ,,,일반구간,2100601080664 ,,,일반구간,2100501091949 ,,,일반구간,2100401100680 ,,,일반구간,2100401013669 ,,,일반구간,2100401100680 ,,,,일반구간,2100401092482 ,,,,,일반구간,2100401101043 ,,,,,일반구간,2100701081239 ,,,일반구간,2100501091521 ,,,,일반구간,2100701030706 ,,,일반구간,2100701012367 ,,,,일반구간,2100701030706 ,,,,일반구간,2100701112297 
일반구간,2100501091521 ,,,휴게소,2100701013625 ,,,휴게소,2100701013625 ,,,일반구간,2100601080225 ,,,일반구간,2100601080736 ,,,일반구간,2100701091804 ,,,일반구간,2100401100720 ,,,일반구간,2100601080225 ,,,일반구간,2100401100720 ,,,,일반구간,2100401092440 ,,,,,일반구간,2100401101078 ,,,,,일반구간,2100701081263 ,,,일반구간,2100501091552 ,,,,일반구간,2100701030680 ,,,일반구간,2100501012424 ,,,,일반구간,2100701030680 ,,,,일반구간,2100701112336 
일반구간,2100501091480 ,,,JC,2100401013619 ,,,JC,2100401013619 ,,,일반구간,2100401080248 ,,,일반구간,2100601080791 ,,,일반구간,2100501091773 ,,,JC,2100401100750 ,,,일반구간,2100401080248 ,,,JC,2100401100750 ,,,,일반구간,2100401092404 ,,,,,일반구간,2100401101120 ,,,,,일반구간,2100701112880 ,,,일반구간,2100501091590 ,,,,일반구간,2100701030644 ,,,일반구간,2100501012465 ,,,,일반구간,2100701030644 ,,,,일반구간,2100701112374 
일반구간,2100501091458 ,,,일반구간,2100401013572 ,,,일반구간,2100401013572 ,,,일반구간,2100401080288 ,,,일반구간,2100601080842 ,,,일반구간,2100501091728 ,,,JC,2100601063247 ,,,일반구간,2100401080288 ,,,JC,2100601063247 ,,,,일반구간,2100401092368 ,,,,,휴게소,2100701101126 ,,,,,일반구간,2100701112793 ,,,일반구간,2100501091631 ,,,,일반구간,2100701030576 ,,,일반구간,2100501012478 ,,,,일반구간,2100701030576 ,,,,일반구간,2100701112449 
일반구간,2100501091394 ,,,휴게소,2100401013535 ,,,휴게소,2100401013535 ,,,일반구간,2100401080337 ,,,JC,2100501092336 ,,,일반구간,2100501091631 ,,,일반구간,2100401063217 ,,,일반구간,2100401080337 ,,,일반구간,2100401063217 ,,,,일반구간,2100501092336 ,,,,,일반구간,2100401101158 ,,,,,일반구간,2100701112751 ,,,일반구간,2100501091728 ,,,,일반구간,2100701030516 ,,,일반구간,2100501012552 ,,,,일반구간,2100701030516 ,,,,일반구간,2100701112471 
일반구간,2100501091381 ,,,일반구간,2100401013533 ,,,일반구간,2100401013533 ,,,일반구간,2100401080371 ,,,일반구간,2100701092321 ,,,일반구간,2100501091590 ,,,일반구간,2100401063190 ,,,일반구간,2100401080371 ,,,일반구간,2100401063190 ,,,,JC,2100601080842 ,,,,,휴게소,2100701101183 ,,,,,일반구간,2100701112738 ,,,일반구간,2100501091773 ,,,,일반구간,2100701030476 ,,,휴게소,2100701012556 ,,,,일반구간,2100701030476 ,,,,일반구간,2100701112523 
일반구간,2100501091330 ,,,일반구간,2100401013501 ,,,일반구간,2100401013501 ,,,일반구간,2100401080402 ,,,일반구간,2100701092299 ,,,일반구간,2100501091552 ,,,일반구간,2100401063134 ,,,일반구간,2100401080402 ,,,일반구간,2100401063134 ,,,,일반구간,2100701080918 ,,,,,일반구간,2100401101214 ,,,,,일반구간,2100701112704 ,,,일반구간,2100701091804 ,,,,일반구간,2100701030418 ,,,휴게소,2100701012558 ,,,,일반구간,2100701030418 ,,,,일반구간,2100701112565 
일반구간,2100501091293 ,,,일반구간,2100401013467 ,,,일반구간,2100401013467 ,,,일반구간,2100401080454 ,,,휴게소,2100401092299 ,,,일반구간,2100501091521 ,,,일반구간,2100401063104 ,,,일반구간,2100401080454 ,,,일반구간,2100401063104 ,,,,일반구간,2100701080970 ,,,,,일반구간,2100601101226 ,,,,,일반구간,2100701112678 ,,,일반구간,2100501091949 ,,,,일반구간,2100701030358 ,,,일반구간,2100401012580 ,,,,일반구간,2100701030358 ,,,,일반구간,2100701112611 
일반구간,2100501091259 ,,,휴게소,2100401013436 ,,,휴게소,2100401013436 ,,,일반구간,2100401080489 ,,,일반구간,2100501092246 ,,,일반구간,2100501091480 ,,,일반구간,2100401063047 ,,,일반구간,2100401080489 ,,,일반구간,2100401063047 ,,,,일반구간,2100701081027 ,,,,,일반구간,2100601101243 ,,,,,일반구간,2100701112611 ,,,일반구간,2100501091988 ,,,,일반구간,2100701030294 ,,,일반구간,2100701012597 ,,,,일반구간,2100701030294 ,,,,일반구간,2100701112678 
